Pos.,Team,G,Pld,W,D,L,Pts,GF,GA,GD
1, France,C,7,6,1,0,19,14,6,8
2, Croatia,D,7,4,2,1,14,14,9,5
3, Belgium,G,7,6,0,1,18,16,6,10
4, England,G,7,3,1,3,10,12,8,4
5, Uruguay,A,5,4,0,1,12,7,3,4
6, Brazil,E,5,3,1,1,10,8,3,5
7, Sweden,F,5,3,0,2,9,6,4,2
8, Russia,A,5,2,2,1,8,11,7,4
9, Colombia,H,4,2,1,1,7,6,3,3
10, Spain,B,4,1,3,0,6,7,6,1
11, Denmark,C,4,1,3,0,6,3,2,1
12, Mexico,F,4,2,0,2,6,3,6,−3
13, Portugal,B,4,1,2,1,5,6,6,0
14, Switzerland,E,4,1,2,1,5,5,5,0
15, Japan,H,4,1,1,2,4,6,7,−1
16, Argentina,D,4,1,1,2,4,6,9,−3
17, Senegal,H,3,1,1,1,4,4,4,0
18, Iran,B,3,1,1,1,4,2,2,0
19, South Korea,F,3,1,0,2,3,3,3,0
20, Peru,C,3,1,0,2,3,2,2,0
21, Nigeria,D,3,1,0,2,3,3,4,−1
22, Serbia,E,3,1,0,2,3,2,4,−2
23, Germany,F,3,1,0,2,3,2,4,−2
24, Tunisia,G,3,1,0,2,3,5,8,−3
25, Poland,H,3,1,0,2,3,2,5,−3
26, Saudi Arabia,A,3,1,0,2,3,2,7,−5
27, Morocco,B,3,0,1,2,1,2,4,−2
28, Australia,C,3,0,1,2,1,2,5,−3
29, Iceland,D,3,0,1,2,1,2,5,−3
30, Costa Rica,E,3,0,1,2,1,2,5,−3
31, Egypt,A,3,0,0,3,0,2,6,−4
32, Panama,G,3,0,0,3,0,2,11,−9
