,Country,Score,Pos.,short_name,long_name,nationality,movement_acceleration,movement_agility,movement_balance,power_jumping,pace,movement_reactions,movement_sprint_speed,power_stamina,power_strength
0,Uruguay,3,5,L. Suárez,Luis Alberto Suárez Díaz,Uruguay,88,86,60,69,82.0,93,77,89,80
1,Uruguay,3,5,D. Godín,Diego Roberto Godín Leal,Uruguay,62,63,58,89,65.0,85,67,67,80
2,Uruguay,3,5,E. Cavani,Edinson Roberto Cavani Gómez,Uruguay,75,81,59,88,77.0,91,78,92,74
3,Uruguay,3,5,J. Giménez,José María Giménez de Vargas,Uruguay,68,57,50,90,70.0,76,72,68,84
4,Uruguay,3,5,F. Muslera,Néstor Fernando Muslera Micol,Uruguay,60,68,62,84,,78,62,45,68
5,Uruguay,3,5,S. Coates,Sebastián Coates Nión,Uruguay,50,33,31,62,58.0,74,64,79,93
6,Uruguay,3,5,M. Campaña,Martín Nicolás Campaña Delgado,Uruguay,40,40,44,60,,67,48,18,81
7,Uruguay,3,5,D. Laxalt,Diego Sebastián Laxalt Suárez,Uruguay,86,82,77,65,88.0,70,90,92,60
8,Uruguay,3,5,G. Ramírez,Gastón Exequiel Ramírez Pereyra,Uruguay,73,83,68,66,71.0,71,70,67,57
9,Uruguay,3,5,M. Vecino,Matías Vecino Falero,Uruguay,68,66,56,62,68.0,80,68,84,76
10,Uruguay,3,5,M. Pereira,Victorio Maximiliano Pereira Páez,Uruguay,72,76,83,75,73.0,75,74,79,68
11,Uruguay,3,5,N. Lodeiro,Marcelo Nicolás Lodeiro Benítez,Uruguay,73,78,79,66,71.0,79,69,88,61
12,Uruguay,3,5,M. Lemos,Mauricio Lemos Merladet,Uruguay,69,70,61,79,70.0,74,70,69,75
13,Uruguay,3,5,D. Rolán,Diego Alejandro Rolan Silva,Uruguay,73,75,69,72,75.0,78,77,67,63
14,Uruguay,3,5,M. Cáceres,José Martín Cáceres Silva,Uruguay,74,79,74,91,74.0,70,74,72,74
15,Uruguay,3,5,C. Stuani,Cristhian Ricardo Stuani Curbelo,Uruguay,70,66,63,83,69.0,81,68,83,77
