short_name,long_name,player_positions,overall,potential,age,height_cm,weight_kg,club_team_id,club_position,club_jersey_number,nationality_id,nationality_name,nation_team_id,nation_position,nation_jersey_number,preferred_foot,weak_foot,skill_moves,international_reputation,work_rate,body_type,real_face,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle
Cristiano Ronaldo,Cristiano Ronaldo dos Santos Aveiro,"ST, LW",94,94,33,187,83,45,ST,7,38,Portugal,1354,LS,7,Right,4,5,5,High/Low,Unique,Yes,90,93,81,89,35,79,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23
L. Messi,Lionel Andrés Messi Cuccittini,"CF, RW, ST",94,94,31,170,72,241,RW,10,52,Argentina,1369,CF,10,Left,4,4,5,Medium/Medium,Unique,Yes,88,91,88,96,32,61,77,95,70,90,86,97,93,94,87,96,91,86,91,95,95,85,68,72,59,94,48,22,94,94,75,96,33,28,26
Neymar,Neymar da Silva Santos Júnior,LW,92,93,26,175,68,73,LW,10,54,Brazil,1370,LW,10,Right,5,5,5,High/Medium,Unique,Yes,92,84,83,95,32,59,79,87,62,84,84,96,88,87,78,95,94,90,96,94,84,80,61,81,49,82,56,36,89,87,81,94,27,24,33
Sergio Ramos,Sergio Ramos García,CB,91,91,32,184,82,243,LCB,4,45,Spain,1362,LCB,15,Right,3,3,4,High/Medium,Normal (170-185),Yes,75,63,71,71,91,84,66,60,91,78,66,61,73,67,72,84,76,75,78,85,66,79,93,84,83,55,84,90,52,63,68,80,89,92,91
L. Suárez,Luis Alberto Suárez Díaz,ST,91,91,31,182,86,241,ST,9,60,Uruguay,1377,LS,9,Right,4,3,5,High/Medium,Normal (170-185),Yes,80,90,79,88,52,85,77,94,77,82,88,87,86,84,64,90,86,75,82,93,83,86,69,90,83,85,87,41,92,84,85,85,62,45,38
L. Modrić,Luka Modrić,"CM, CDM",91,91,32,172,66,243,RCM,10,10,Croatia,,,,Right,4,4,4,High/High,Lean (170-185),Yes,76,76,90,91,70,67,86,72,55,93,76,90,85,78,88,93,80,72,93,90,94,79,68,89,58,82,62,83,79,92,82,84,60,76,73
E. Hazard,Eden Hazard,"LW, CF",91,91,27,173,74,5,LW,10,7,Belgium,1325,LF,10,Right,4,4,4,High/Medium,Normal (170-185),Yes,91,82,86,94,35,67,81,84,61,89,80,95,83,79,83,94,93,89,95,90,94,80,56,83,66,80,54,41,87,89,86,91,34,27,22
K. De Bruyne,Kevin De Bruyne,"CAM, CM",91,92,27,181,70,10,RCM,17,7,Belgium,1325,RCM,7,Right,5,4,4,High/High,Normal (170-185),Yes,77,86,92,87,60,78,93,83,55,92,82,86,85,83,91,91,78,76,79,91,77,91,63,90,75,91,76,60,87,94,79,88,67,58,51
De Gea,David De Gea Quintana,GK,91,93,27,193,76,11,GK,1,45,Spain,1362,GK,1,Right,3,1,4,Medium/Medium,Lean (185+),Yes,,,,,,,17,13,21,50,13,18,21,19,51,42,57,58,60,90,43,31,67,43,64,12,38,30,12,68,40,68,15,21,13
M. Neuer,Manuel Peter Neuer,GK,90,90,32,193,92,21,GK,1,21,Germany,1337,GK,1,Right,4,1,5,Medium/Medium,Normal (185+),Yes,,,,,,,15,13,25,55,11,30,14,11,59,48,54,60,51,84,35,25,77,43,80,16,29,30,12,70,47,70,17,10,11
